,Series Name,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
32,"Agriculture, forestry, and fishing, value added (% of GDP)",4.11575648758173,4.34203412773382,4.1683282240444,4.50688702754023,4.32560979028385,4.31914942942436,4.89301052063879,4.63470569099687,4.36127937311958,..
33,"Industry (including construction), value added (% of GDP)",23.267977354744,23.1020509635585,22.1336473676777,21.2248139307805,20.4724592028246,19.3600439775462,18.352790438481,18.3532311195126,18.4428162061965,..
34,Exports of goods and services (% of GDP),10.8655847746965,11.5825126782808,11.8775390673678,11.742232845639,11.0119409152591,12.9001914177405,12.4709021006972,12.5734550095265,14.8053442461215,..
35,Imports of goods and services (% of GDP),11.9065933373084,12.3518924993294,13.2367345412855,14.0437293144408,13.6734606297264,14.0534345199388,12.0710907015169,11.5710240388731,14.2767138487893,..
36,Gross capital formation (% of GDP),21.8013215651568,21.8262711070469,21.4172253653349,21.6937710091008,20.5484072031028,17.4116258632937,14.9746178719222,15.0356329179689,15.422724055032,..
37,"Revenue, excluding grants (% of GDP)",28.2927992220695,28.3873449016797,28.8879978974381,27.859066498725,26.52264688778,28.5200949461167,28.8902142221448,27.1817527990553,..,..
38,Time required to start a business (days),..,..,..,86.6,83.6,86,82.5,82.5,20.1,16.6
39,Domestic credit provided by financial sector (% of GDP),93.3887029495729,95.1554468543532,101.064049187409,100.045957422747,103.440518968876,107.063168960991,111.185414793342,111.364247302995,113.709350765773,..
40,Tax revenue (% of GDP),13.623447382748,14.2201231457951,13.6514575347955,13.4416927830225,12.7616846849996,12.8248632636748,12.7729481529037,12.7047397240845,..,..
41,Military expenditure (% of GDP),1.53940698128362,1.41185115924524,1.37865646470437,1.3294461087607,1.330244423168,1.36551715396161,1.35015057288696,1.41952663807017,1.47490154739588,..
42,High-technology exports (% of manufactured exports),12.0523401660687,10.5755774758681,11.2727771557656,10.431530300605,11.3634462941607,13.1387713190622,14.3371583972761,13.3129032206298,12.9506134545756,..
43,Statistical Capacity score (Overall average),83.3333333333333,84.4444444444444,78.8888888888889,75.5555555555556,75.5555555555556,72.2222333333333,76.6666666666667,74.4444333333333,80,..
44,Merchandise trade (% of GDP),17.8123523237019,18.8442665928157,19.3078933446319,19.9202812166963,18.903018106737,20.5284124569469,18.2931856226181,18.2786286854903,22.9258813612893,..
45,Net barter terms of trade index (2000 = 100),124.4458032,134.1584343,126.330954,123.7563749,119.5613109,106.4118384,109.6415083,115.9903352,114.8827283,..
46,"External debt stocks, total (DOD, current US$)",352364412862.6,404046105342.1,440515187632.7,483765362833.9,556919645475.4,543397354634.3,543257223431.4,542979659110.9,557822647211.2,..
47,"Total debt service (% of exports of goods, services and primary income)",18.3752189034516,18.7304465826475,15.6603007623962,28.0022486784635,22.8975850890091,39.7318229702261,50.9592737097208,34.708387299173,31.7447689220221,..
48,Net migration,..,..,15924,..,..,..,..,106000,..,..
49,"Personal remittances, received (current US$)",3082801866.11,3214602242.94,2784072055.49,2717675068.66,2647908513.04,2896909951.71,2739786526.59,2698770651.24,2933489276.49,..
50,"Foreign direct investment, net inflows (BoP, current US$)",82389933624.1,102427229784.41,92568379494.5,75211028087.44,87713987796.95,60334050667.77,73377909022.23,70257759617.82,88324149805.23,..
51,Access to electricity (% of population),98.8462677001953,99.328691,99.519494,99.575151,99.650247,99.710902,99.7,100,..,..
52,"Access to electricity, rural (% of rural population)",94.1143729680585,96.1905873870837,97.2218134003495,97.5020335050058,97.9100769987215,98.2324092295465,98.4671299664193,100,..,..
53,"Access to electricity, urban (% of urban population)",99.7252044677734,99.898571,99.927418,99.935013,99.945554,99.956197,99.9,100,..,..
54,"Survival to age 65, female (% of cohort)",83.0251928,83.3413104,83.657428,83.9189164,84.1804048,84.4418932,84.7033816,84.96487,..,..
55,"Survival to age 65, male (% of cohort)",70.2457144,70.7755472,71.30538,71.6245066,71.9436332,72.2627598,72.5818864,72.901013,..,..
56,"Suicide mortality rate, male (per 100,000 male population)",8.7,..,..,..,..,9.9,10,..,..,..
57,"Suicide mortality rate, female (per 100,000 female population)",2.8,..,..,..,..,3.2,3.1,..,..,..
58,"Suicide mortality rate (per 100,000 population)",5.7,..,..,..,..,6.5,6.5,..,..,..
59,Poverty gap at national poverty lines (%),..,..,..,..,..,..,..,..,..,..
60,Poverty gap at $5.50 a day (2011 PPP) (%),..,9.6,8,7.7,6.5,7.3,8.4,8.7,..,..
61,Poverty gap at $3.20 a day (2011 PPP) (%),..,4.1,3.4,3.3,2.5,2.9,3.7,4,..,..
62,Poverty gap at $1.90 a day (2011 PPP) (%),..,1.9,1.5,1.5,1,1.2,1.6,1.8,..,..
63,Number of deaths ages 5-14 years,9920,..,..,..,..,8243,..,..,7339,..
64,Number of infant deaths,50212,47840,45908,44283,42845,41509,43063,38792,37421,..
65,Number of neonatal deaths,33531,31936,30610,29641,28826,27783,28437,24944,23715,..
66,Number of under-five deaths,56386,53673,51460,49612,47983,46479,48237,43455,41940,..
67,"Mortality rate, neonatal (per 1,000 live births)",11.2,10.7,10.3,10,9.7,9.4,9.6,8.5,8.1,..
68,"Mortality rate, infant (per 1,000 live births)",16.7,16,15.4,14.9,14.5,14,14.6,13.2,12.8,..
69,"Mortality rate, adult, male (per 1,000 male adults)",207.604,204.383,201.161,198.648,196.135,193.622,191.109,188.596,..,..
70,"Mortality rate, adult, female (per 1,000 female adults)",102.251,100.77,99.288,97.893,96.498,95.103,93.708,92.313,..,..
71,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",..,..,..,..,..,..,1,..,..,..
72,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",23,..,..,..,..,20.5,20,..,..,..
73,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",15.4,..,..,..,..,13.8,13.5,..,..,..
74,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",19,..,..,..,..,17,16.6,..,..,..
75,"Mortality caused by road traffic injury (per 100,000 people)",..,..,..,23.4,..,..,19.7,..,..,..
76,"Life expectancy at birth, male (years)",69.95,70.265,70.56,70.838,71.099,71.345,71.578,71.804,..,..
77,"Life expectancy at birth, female (years)",77.378,77.658,77.929,78.193,78.45,78.698,78.934,79.156,..,..
78,Individuals using the Internet (% of population),40.65,45.69,48.56,51.04,54.55100188,58.32795173,60.87254007,67.47128452,..,..
79,GDP per capita growth (annual %),6.52437280430098,3.02640456781005,1.01453521432917,2.10888840464017,-0.352479217688355,-4.35148398862317,-4.0987022546979,0.251410418805705,0.328069801440051,..
80,GDP per capita (current US$),11286.2430162457,13245.615526158,12370.0242007149,12300.3225752233,12112.5903019529,8814.00098681261,8712.88704442864,9880.94654326324,8920.76210462979,..
82,"Condom use, population ages 15-24, male (% of males ages 15-24)",..,..,..,..,..,..,..,..,..,..
83,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",8.8,..,..,..,..,..,7.8,..,..,..
84,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",3,..,..,..,..,..,2.4,..,..,..
85,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",15,..,..,..,..,..,13.4,..,..,..
86,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),..,..,..,..,..,..,..,..,..,..
87,"Smoking prevalence, total (ages 15+)",17.2,16.7,16,15.5,14.9,14.3,13.9,..,..,..
88,"Smoking prevalence, males (% of adults)",21.8,21.1,20.3,19.7,19.1,18.4,17.9,..,..,..
89,"Smoking prevalence, females (% of adults)",12.9,12.5,11.9,11.5,11,10.5,10.1,..,..,..
90,Prevalence of undernourishment (% of population),2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
98,"Population, male",96536268,97385183,98220333,99043431,99855748,100657521,101450193,102232091,102996245,..
99,"Population, female",99177367,100129351,101066963,101992472,102907987,103814248,104712865,105601740,106473088,..
100,"Population, female (% of total population)",50.6747355576454,50.6946751834337,50.7142025894958,50.7334615213808,50.752659213079,50.7719224932182,50.7912843511594,50.8106594294745,50.8299167629894,..
101,"Population, male (% of total population)",49.3252644423546,49.3053248165663,49.2857974105042,49.2665384786192,49.247340786921,49.2280775067818,49.2087156488406,49.1893405705255,49.1700832370106,..
102,"Population ages 15-19, female (% of female population)",8.52704822737381,8.44871516449896,8.38967939285322,8.33600632470202,8.26598385089469,8.16637173764298,8.04144465000976,7.89208609324295,7.72358038554365,..
103,Number of maternal deaths,1900,1800,1800,1800,1800,1900,1800,1700,..,..
104,Medium and high-tech Industry (including construction) (% manufacturing value added),36.1869860449535,36.3154561719772,35.3303656791468,36.3888313097608,34.0908646326718,35.391513669516,35.3915136697171,35.3915136690807,..,..
105,"Maternal mortality ratio (national estimate, per 100,000 live births)",..,64.8,58.2,..,..,..,..,..,..,..
106,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",65,61,60,61,62,63,62,60,..,..
107,"Death rate, crude (per 1,000 people)",6.045,6.071,6.106,6.147,6.195,6.25,6.311,6.378,..,..
